Date,Bitcoin Currency
2019-04-14,89.9
2019-04-15,88.5
2019-04-16,91.8
2019-04-17,92.1
2019-04-18,93.2
2019-04-19,93.3
2019-04-20,93.8
2019-04-21,93.1
2019-04-22,95.0
2019-04-23,98.5
2019-04-24,95.5
2019-04-25,97.0
2019-04-26,91.0
2019-04-27,91.1
2019-04-28,90.7
2019-04-29,90.9
2019-04-30,92.4
2019-05-01,93.7
2019-05-02,95.7
2019-05-03,100.6
2019-05-04,102.6
2019-05-05,100.8
2019-05-06,100.7
2019-05-07,103.3
2019-05-08,104.0
2019-05-09,107.1
2019-05-10,112.1
2019-05-11,123.0
2019-05-12,125.3
2019-05-13,139.8
2019-05-14,139.8
2019-05-15,145.3
2019-05-16,140.2
2019-05-17,127.8
2019-05-18,128.5
2019-05-19,145.5
2019-05-20,138.9
2019-05-21,142.5
2019-05-22,138.9
2019-05-23,137.9
2019-05-24,141.7
2019-05-25,143.1
2019-05-26,153.6
2019-05-27,156.4
2019-05-28,154.0
2019-05-29,154.0
2019-05-30,153.3
2019-05-31,151.0
2019-06-01,152.4
2019-06-02,153.6
2019-06-03,149.7
2019-06-04,134.2
2019-06-05,138.2
2019-06-06,137.1
2019-06-07,139.8
2019-06-08,140.7
2019-06-09,134.6
2019-06-10,141.1
2019-06-11,140.5
2019-06-12,144.5
2019-06-13,146.6
2019-06-14,150.2
2019-06-15,157.5
2019-06-16,158.9
2019-06-17,166.1
2019-06-18,161.6
2019-06-19,162.7
2019-06-20,169.8
2019-06-21,175.8
2019-06-22,187.3
2019-06-23,193.6
2019-06-24,195.9
2019-06-25,208.4
2019-06-26,247.0
2019-06-27,203.6
2019-06-28,217.3
2019-06-29,213.1
2019-06-30,201.5
2019-07-01,187.4
2019-07-02,190.0
2019-07-03,201.7
2019-07-04,199.2
2019-07-05,194.8
2019-07-06,199.2
2019-07-07,205.6
2019-07-08,219.4
2019-07-09,222.2
2019-07-10,214.7
2019-07-11,208.0
2019-07-12,210.3
2019-07-13,201.8
2019-07-14,188.4
2019-07-15,196.8
2019-07-16,172.0
2019-07-17,175.2
2019-07-18,187.7
2019-07-19,186.3
2019-07-20,194.7
2019-07-21,189.3
2019-07-22,184.0
2019-07-23,180.6
2019-07-24,172.9
2019-07-25,176.3
2019-07-26,174.8
2019-07-27,168.4
2019-07-28,170.4
2019-07-29,169.3
2019-07-30,171.0
2019-07-31,179.0
2019-08-01,185.7
2019-08-02,186.9
2019-08-03,194.2
2019-08-04,196.0
2019-08-05,211.5
2019-08-06,208.9
2019-08-07,209.8
2019-08-08,207.4
2019-08-09,210.9
2019-08-10,202.0
2019-08-11,205.6
2019-08-12,203.7
2019-08-13,194.2
2019-08-14,182.2
2019-08-15,180.1
2019-08-16,186.8
2019-08-17,180.7
2019-08-18,185.8
2019-08-19,191.8
2019-08-20,191.6
2019-08-21,180.1
2019-08-22,181.3
2019-08-23,185.4
2019-08-24,180.6
2019-08-25,180.3
2019-08-26,184.5
2019-08-27,181.8
2019-08-28,173.1
2019-08-29,170.0
2019-08-30,170.3
