"","Date","Close.Last","Volume","Open","High","Low","diff","norm"
"1","05/21/2021",36906.3,"N/A",40710.8,38056.8,36606.7,1450.10000000001,0.167196872762277
"2","05/20/2021",40779.5,"N/A",38170.6,42108.3,40521.5,1586.8,0.183243922194701
"3","05/19/2021",38220.1,"N/A",40491.1,38573.3,35010.4,3562.9,0.415215936703957
"4","05/18/2021",40569,"N/A",45042.4,43516.6,40164.2,3352.4,0.390505593576485
"5","05/17/2021",44847.2,"N/A",44482,45231.4,43186.8,2044.6,0.236984516416824
"6","05/16/2021",43493.4,"N/A",48167.2,46545.4,43072.5,3472.9,0.404650944392924
"7","05/15/2021",47875.9,"N/A",50046.3,48323.8,46574.6,1749.2,0.202307863875944
"8","05/14/2021",49762.8,"N/A",49176.2,50640.9,49303.7,1337.2,0.153943676852102
"9","05/13/2021",49391.5,"N/A",50260.7,50387.3,49258,1129.3,0.129538544613615
"10","05/12/2021",49715.2,"N/A",57762.7,50843,46331.1,4511.9,0.526617911183632
"11","05/11/2021",57752.6,"N/A",55164.2,57753,56597.1,1155.9,0.132661086785543
"12","05/10/2021",55126.4,"N/A",59400.6,56384.2,54550.4,1833.8,0.212238956648314
"13","05/09/2021",59352.4,"N/A",58585.3,59426.6,58066,1360.6,0.15669057485297
"14","05/08/2021",58976.3,"N/A",58110.5,59227,58391.4,835.599999999999,0.0950614530386091
"15","05/07/2021",58058.1,"N/A",55732,58412.9,56972.2,1440.7,0.166093418009791
"16","05/06/2021",55920,"N/A",56835.9,57080.7,55533.7,1547,0.178571847817155
"17","05/05/2021",56860.9,"N/A",55024.5,57560.8,56623.5,937.300000000003,0.106999894350077
"18","05/04/2021",55085.6,"N/A",55745.7,55088.1,53872.5,1215.6,0.139669198351861
"19","05/03/2021",55470.2,"N/A",57953.7,57201.3,54735.3,2466,0.286452158193152
"20","05/02/2021",57961.5,"N/A",56532.2,58261.4,56562.4,1699,0.196414945942456
"21","05/01/2021",56591,"N/A",58189.8,57868.4,56556.1,1312.3,0.15102069564605
"22","04/30/2021",58188.8,"N/A",53706,58449.4,57528.9,920.5,0.105027762452017
"23","04/29/2021",53667,"N/A",54270.4,53802.7,53088.7,714,0.0807869745383686
"24","04/28/2021",54165.8,"N/A",54818.7,55173.7,54164.4,1009.3,0.115451888198903
"25","04/27/2021",55019.8,"N/A",53505.3,55718.8,54871.9,846.900000000001,0.0963879465176614
"26","04/26/2021",53527.9,"N/A",52388.1,54120.6,53431.1,689.5,0.0779109488536984
"27","04/25/2021",52265.6,"N/A",49690.8,52420.9,48815.9,3605,0.420158005329452
"28","04/24/2021",49705.9,"N/A",50128.7,50438.8,49658.6,780.200000000004,0.0885581133271515
"29","04/23/2021",50207,"N/A",50294.7,51183,49380.6,1802.4,0.208552948219799
"30","04/22/2021",50197.1,"N/A",53456.3,52099.9,48788.3,3311.6,0.385716130395483
"31","04/21/2021",53351.4,"N/A",55256.9,54606.2,52585.9,2020.3,0.234131968492845
"32","04/20/2021",55500.5,"N/A",54709,56764.4,55447.9,1316.5,0.151513728620564
"33","04/19/2021",54759.9,"N/A",57060.2,55776.8,54404.6,1372.2,0.15805228497306
"34","04/18/2021",57230.4,"N/A",55371.5,57275.2,55767,1508.2,0.174017162243065
"35","04/17/2021",53728.9,"N/A",62404.8,60362.1,51817.6,8544.5,1
"36","04/16/2021",62376.3,"N/A",62936.8,62509.1,61155.6,1353.5,0.155857114348434
"37","04/15/2021",63063.3,"N/A",63055.8,63518.5,62738.3,780.199999999997,0.0885581133271506
"38","04/14/2021",63001.1,"N/A",63715.3,63347.3,62361.7,985.600000000006,0.112669773556999
"39","04/13/2021",63809,"N/A",60496.3,63818.7,63080.7,738,0.0836043058213108
"40","04/12/2021",60535.5,"N/A",60350.4,61068.3,59839.4,1228.9,0.141230469437825
"41","04/11/2021",60211.2,"N/A",60267.1,60311.3,59598.2,713.100000000006,0.080681324615259
"42","04/10/2021",60319.8,"N/A",59206.4,60667.1,59640.8,1026.3,0.117447497857654
"43","04/09/2021",59119.4,"N/A",58010.7,59149.9,57900,1249.9,0.1436956343104
"44","04/08/2021",58081.2,"N/A",56565.9,58391.3,57832.9,558.400000000001,0.0625212767206266
"45","04/07/2021",56580.9,"N/A",57900.4,56674.6,55721.6,953,0.108842898564335
"46","04/06/2021",57907.1,"N/A",58611.7,58192.7,57286.9,905.799999999996,0.103302147041215
"47","04/05/2021",58800.4,"N/A",57452.1,59487,58662,825,0.0938171317219764
"48","04/04/2021",57555.1,"N/A",57541.4,58355,57497.6,857.400000000001,0.0976205289539486
"49","04/03/2021",57325.1,"N/A",59216.6,57448.9,56470.6,978.300000000003,0.11181283529177
"50","04/02/2021",59205.3,"N/A",59676.4,59414,58948.5,465.5,0.0516158568795709
"51","04/01/2021",59733.7,"N/A",59083.4,60134.9,58496.3,1638.6,0.189324662213718
"52","03/31/2021",58995.8,"N/A",58673.7,59309.8,58738.9,570.900000000001,0.0639886367638257
"53","03/30/2021",58534.6,"N/A",57320,59030.2,58429.8,600.399999999994,0.0674516064657747
"54","03/29/2021",57141,"N/A",55344.1,57752.7,57128.3,624.399999999994,0.0702689377487169
"55","03/28/2021",55393.9,"N/A",55791.9,55899.4,55002.9,896.5,0.102210431169075
"56","03/27/2021",56133.6,"N/A",54786.9,56174.8,55645.5,529.300000000003,0.0591052625400594
"57","03/26/2021",54751.7,"N/A",51667.2,55532.1,54551.8,980.299999999996,0.112047612898681
"58","03/25/2021",52428.5,"N/A",52189.3,52669.2,51306.1,1363.1,0.15698404686161
"59","03/24/2021",52136.7,"N/A",54447.1,52763,51561.3,1201.7,0.138037493983824
"60","03/23/2021",54444.7,"N/A",54517.9,54716.8,53579.1,1137.7,0.130524610562645
"61","03/22/2021",54577,"N/A",57558.1,55287.5,53842.1,1445.4,0.166645145386033
"62","03/21/2021",57316.4,"N/A",57809.8,57443.4,56357.5,1085.9,0.124443870543628
"63","03/20/2021",57754.5,"N/A",58419.7,58583.8,57471.4,1112.4,0.12755467383521
"64","03/19/2021",58296.2,"N/A",57773,58877.5,57863,1014.5,0.116062309976874
"65","03/18/2021",57859.3,"N/A",58724.5,57876.5,56305.1,1571.4,0.18143613462148
"66","03/17/2021",58727.6,"N/A",55489.5,59489.4,58621.9,867.5,0.0988061558688533
"67","03/16/2021",55835.2,"N/A",54277.3,57121,55683.4,1437.6,0.165729512719077
"68","03/15/2021",54269.4,"N/A",60347.5,56024.1,53342.6,2681.5,0.311749445337904
"69","03/14/2021",60375.5,"N/A",61350.2,60459.9,58859,1600.9,0.18489910432343
"70","03/13/2021",61218.9,"N/A",56865.6,61673.7,60755.8,917.899999999994,0.104722551563031
"71","03/12/2021",56485.1,"N/A",56702.6,57271.8,56118.8,1153,0.13232065925552
"72","03/11/2021",56710.6,"N/A",55812.7,58052.3,56545.9,1506.4,0.173805862396845
"73","03/10/2021",55667.1,"N/A",53694.3,56461,55168.1,1292.9,0.148743352859005
"74","03/09/2021",53565.5,"N/A",53714.1,55772.3,53187.5,2584.8,0.300397948043716
"75","03/08/2021",53878.4,"N/A",50450.8,54077.9,51941.3,2136.6,0.247784286334769
"76","03/07/2021",50411.2,"N/A",49485.6,51801.1,50141.4,1659.7,0.191801565966638
"77","03/06/2021",49501.2,"N/A",48467.1,49881.4,48890.6,990.800000000003,0.113280195334969
"78","03/05/2021",48447.7,"N/A",46677.4,49132.7,48166.4,966.299999999996,0.110404169650298
"79","03/04/2021",47132,"N/A",49029.8,48363.6,46370.1,1993.5,0.230985948560226
"80","03/03/2021",49278.1,"N/A",49126.2,51757.7,49111.5,2646.2,0.307605620575909
"81","03/02/2021",49207.5,"N/A",49161.1,49309.1,48159.2,1149.9,0.131956753964807
"82","03/01/2021",49053,"N/A",46464.4,50191.9,48662.2,1529.7,0.176541021517368
"83","02/28/2021",46566.6,"N/A",44403.5,46809.5,45008.8,1800.7,0.208353387253923
"84","02/27/2021",44741,"N/A",47686.9,46582,44346.9,2235.1,0.259347083475178
"85","02/26/2021",47762.9,"N/A",47011.8,48018.5,46205.2,1813.3,0.209832486177469
"86","02/25/2021",47020,"N/A",49651.9,47749.1,46051.2,1697.9,0.196285818258655
"87","02/24/2021",49822.7,"N/A",50783,50857.8,49597.9,1259.9,0.144869522344959
"88","02/23/2021",50884.3,"N/A",50636.7,51299.1,47031.7,4267.4,0.497916348738658
