"","Date","Close.Last","Volume","Open","High","Low","diff","norm"
"1","05/21/2021",2333.99,"N/A",2791.47,2481.06,2311.87,169.19,0.343100150571766
"2","05/20/2021",2805.8,"N/A",2474.48,2931.66,2766.02,165.64,0.335876775322508
"3","05/19/2021",2448.76,"N/A",3094.68,2539.36,2163.4,375.96,0.763826150653156
"4","05/18/2021",3103.98,"N/A",3380.61,3434.01,3065.84,368.17,0.747975420176617
"5","05/17/2021",3388.7,"N/A",3254.53,3415,3244.93,170.07,0.344890733732146
"6","05/16/2021",3267.2,"N/A",3825.2,3582.19,3235.2,346.99,0.704879339112034
"7","05/15/2021",3798.62,"N/A",4027.17,3851.62,3626.53,225.09,0.456842876327676
"8","05/14/2021",4035.14,"N/A",3781.41,4129.99,4013.04,116.95,0.236804622960159
"9","05/13/2021",3807.61,"N/A",3938.29,3893.57,3694.54,199.03,0.403817197737355
"10","05/12/2021",3911.35,"N/A",4337.93,4031.99,3539.96,492.03,1
"11","05/11/2021",4318.2,"N/A",3855.65,4327.76,4151.39,176.37,0.357709681357588
"12","05/10/2021",3857.83,"N/A",4051.53,4025.11,3781.86,243.25,0.493794001546413
"13","05/09/2021",4053.56,"N/A",3879.14,4067.75,3888.6,179.15,0.363366296341513
"14","05/08/2021",3947.83,"N/A",3531.95,3947.83,3819.55,128.28,0.259858381150042
"15","05/07/2021",3526.88,"N/A",3423.71,3549.69,3453.37,96.3200000000002,0.194827656370814
"16","05/06/2021",3439.26,"N/A",3471.5,3530.84,3401.11,129.73,0.262808773857486
"17","05/05/2021",3466.61,"N/A",3310.14,3537.12,3442.35,94.77,0.191673788304236
"18","05/04/2021",3317.58,"N/A",3237.69,3331.54,3295.34,36.1999999999998,0.072498270459447
"19","05/03/2021",3239.54,"N/A",3053.38,3446.51,3188.9,257.61,0.523013063118057
"20","05/02/2021",3052.6,"N/A",2949.71,3057.99,2950.07,107.92,0.218430798030358
"21","05/01/2021",2912.25,"N/A",2838.94,2954.53,2910.74,43.7900000000004,0.0879420502177195
"22","04/30/2021",2843.18,"N/A",2742.91,2846.81,2753.6,93.21,0.188499572701746
"23","04/29/2021",2740.19,"N/A",2694.76,2768.03,2727.5,40.5300000000002,0.0813087535099504
"24","04/28/2021",2690.07,"N/A",2628.81,2753.4,2686.07,67.3299999999999,0.135840149757864
"25","04/27/2021",2642.5,"N/A",2494.61,2714.94,2629.85,85.0900000000001,0.171977373540065
"26","04/26/2021",2498.12,"N/A",2453.65,2546.63,2484.44,62.1900000000001,0.125381516298376
"27","04/25/2021",2445.16,"N/A",2189.26,2467.72,2305.97,161.75,0.327961583852196
"28","04/24/2021",2192.66,"N/A",2296.72,2249.28,2190.59,58.6900000000001,0.118259878728686
"29","04/23/2021",2302.55,"N/A",2281.49,2367.46,2229.62,137.84,0.279310625483254
